,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Gymnospermae,Coniferopsida,O,Adiantaceae,Adiantopteris,Adiantopteris eleganta,119.598,45.43600000000001,-145.0,-100.0,121.45,47.29
1,Gymnospermae,Coniferopsida,O,Adiantaceae,Adiantopteris,Adiantopteris cf.sewardii,131.14600000000002,45.833999999999996,-145.0,-100.0,133.38,48.44
2,Pteridophyta,Filicopsida,O,Ephedraceae,Alloephedra,Alloephedra xingxuei,129.502,42.888000000000005,-145.0,-100.0,131.48,44.75
3,Gymnospermae,Cycadopsida,Bennettiales,F,Androstrobus,Androstrobus nathorsti,124.477,41.902,-145.0,-100.0,126.43,43.49
4,Gymnospermae,Coniferopsida,O,F,Anomozamites,Anomozamites cf.angulatus,131.11700000000002,44.088,-145.0,-100.0,133.57,46.7
5,Angiospermae,Dicotyledoneae,O,F,Anomozamites,Anomozamites angulatus,119.586,45.428999999999995,-145.0,-100.0,121.44,47.28
6,Angiospermae,Dicotyledoneae,O,F,Anomozamites,Anomozamites arcticus,131.11700000000002,44.088,-145.0,-100.0,133.57,46.7
7,Angiospermae,Monocotyledoneae,O,F,Anomozamites,Anomozamites arcticus,130.29,47.347,-145.0,-100.0,132.28,49.89
8,Gymnospermae,Cycadopsida,Bennettiales,Araliaceae,Aralia,Aralia mudanjiangensis,129.632,44.552,-145.0,-100.0,131.97,47.07
9,Angiospermae,C,O,Araliaceae,Araliaephyllum,Araliaephyllum obtusilobum,129.434,42.763999999999996,-145.0,-100.0,131.42,44.63
10,Gymnospermae,Coniferopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon batuense,120.771,41.471000000000004,-145.0,-100.0,122.69,42.84
11,Gymnospermae,Cycadopsida,Nilssoniales,Araucariaceae,Araucarioxylon,Araucarioxylon japonicum,117.014,36.667,-145.0,-100.0,119.36,37.83
12,Gymnospermae,Cycadopsida,Nilssoniales,Araucariaceae,Araucarioxylon,Araucarioxylon jimoense,120.44200000000001,36.388000000000005,-145.0,-100.0,122.86,37.76
13,Pteridophyta,Filicopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon xinchangense,120.779,29.401,-145.0,-100.0,124.16,32.36
14,Gymnospermae,Cycadopsida,Bennettiales,Araucariaceae,Araucarites,Araucarites minutus,86.869,28.396,-145.0,-100.0,49.73,-46.29
15,Gymnospermae,C,Ginkgoales,F,Archimagnolia,Archimagnolia rostrato,129.434,42.763999999999996,-145.0,-100.0,131.42,44.63
16,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris kolymensis,114.887,40.824,-145.0,-100.0,116.79,41.85
17,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris latifolius,117.669,49.51,-145.0,-100.0,118.82,51.21
18,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris latifolius,119.735,49.213,-145.0,-100.0,121.0,51.05
19,Gymnospermae,Cycadopsida,Bennettiales,Pteridaceae,Arctopteris,Arctopteris maculatus,131.011,45.336000000000006,-145.0,-100.0,133.3,47.93
20,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris tschumikanensis,112.321,33.538000000000004,-145.0,-100.0,114.34,33.5
21,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris tschumikanensis,126.939,43.512,-145.0,-100.0,128.78,45.23
22,Pteridophyta,Filicopsida,O,Pteridaceae,Arctopteris,Arctopteris zhengyangensis,131.065,45.358999999999995,-145.0,-100.0,133.36,47.96
23,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris obtuspinnata,116.057,39.792,-145.0,-100.0,118.08,40.89
24,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris orientalis,117.669,49.51,-145.0,-100.0,118.82,51.21
25,Gymnospermae,C,Cycadopsida,Pteridaceae,Arctopteris,Arctopteris heteropinnula,123.542,42.448,-145.0,-100.0,125.42,43.98
26,Gymnospermae,C,Czekanowskiales,Pteridaceae,Arctopteris,Arctopteris rarinervis,126.906,43.67100000000001,-145.0,-100.0,128.73,45.39
27,Gymnospermae,C,Ginkgoales,Pteridaceae,Arctopteris,Arctopteris rarinervis,130.297,47.349,-145.0,-100.0,132.28,49.9
28,Gymnospermae,C,Czekanowskiales,Pteridaceae,Arctopteris,Arctopteris rarinervis,131.011,45.336000000000006,-145.0,-100.0,133.3,47.93
29,Gymnospermae,Coniferopsida,O,F,Asiatifolium,Asiatifolium elegans,131.011,45.336999999999996,-145.0,-100.0,133.3,47.94
30,Gymnospermae,Coniferopsida,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,117.669,49.51,-145.0,-100.0,118.82,51.21
31,Gymnospermae,Coniferopsida,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,120.579,49.242,-145.0,-100.0,121.87,51.14
32,Pteridophyta,Filicopsida,O,Aspleniaceae,Asplenium,Asplenium tiefanum,123.542,42.448,-145.0,-100.0,125.42,43.98
33,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium parvum,117.669,49.51,-145.0,-100.0,118.82,51.21
34,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium parvum,119.735,49.213,-145.0,-100.0,121.0,51.05
35,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,119.735,49.213,-145.0,-100.0,121.0,51.05
36,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,123.542,42.448,-145.0,-100.0,125.42,43.98
37,Gymnospermae,C,Ginkgoales,Aspleniaceae,Asplenium,Asplenium popovii,126.662,45.742,-145.0,-100.0,128.72,48.06
