,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Gymnospermae,Coniferopsida,O,F,Aethophyllum,Aethophyllum stipulare,119.613,40.887,-251,-247,99.42,35.22
1,Gymnospermae,Pteridospermopsida,O,F,Aipteridium,Aipteridium kuqaense,82.959,41.716,-251,-247,76.55,35.48
2,Gymnospermae,Coniferopsida,O,Taxodiaceae,Albertia,Albertia cf.speciosa,110.48,19.121,-251,-247,104.84,3.57
3,Gymnospermae,Coniferopsida,O,Taxodiaceae,Albertia,Albertia elliptica,110.537,19.178,-251,-247,104.85,3.65
4,Gymnospermae,Coniferopsida,O,Taxodiaceae,Albertia,Albertia latifolia,110.488,19.129,-251,-247,104.84,3.58
5,Gymnospermae,Coniferopsida,O,F,Ammatopsis,Ammatopsis mira,110.537,19.178,-251,-247,104.85,3.65
6,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis chudeensis,118.165,40.763000000000005,-251,-247,98.08,35.39
7,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,118.165,40.763000000000005,-251,-247,98.08,35.39
8,Pteridophyta,Sphenopsida,O,F,Annularia,Annularia shirakii,104.375,25.839000000000002,-251,-247,96.26,5.51
9,Pteridophyta,Filicopsida,O,F,Anomopteris,Anomopteris minima,113.23700000000001,37.608000000000004,-251,-247,92.6,33.36
10,Pteridophyta,Filicopsida,O,F,Anomopteris,Anomopteris mougeotii,112.32600000000001,37.068000000000005,-251,-247,91.6,33.04
11,Pteridophyta,Filicopsida,O,F,Anomopteris,Anomopteris cf.mougeotii,112.21600000000001,34.439,-251,-247,90.68,30.52
12,Pteridophyta,Filicopsida,O,Asterothecaceae,Asterotheca,Asterotheca szeiana,110.493,19.127,-251,-247,104.85,3.58
13,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,112.955,37.023,-251,-237,92.16,32.86
14,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,110.82799999999999,36.998000000000005,-251,-247,90.2,33.29
15,Gymnospermae,C,O,F,Cardiocarpus,Cardiocarpus yuccinoides,113.055,36.961,-251,-247,92.23,32.78
