,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Angiospermae,Monocotyledoneae,O,Alangiaceae,Alangium,Alangium feijiajieense,127.96,45.211000000000006,-100.0,-66.0,118.2,50.34
1,Angiospermae,Dicotyledoneae,O,Betulaceae,Alnites,Alnites jelisejevii,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
2,Angiospermae,Dicotyledoneae,O,Betulaceae,Alnus,Alnus protobarbata,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
3,Angiospermae,Dicotyledoneae,O,Vitaceae,Ampelopsis,Ampelopsis acerifolia,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
4,Angiospermae,Dicotyledoneae,O,Araliaceae,Aralia,Aralia firma,87.236,29.294,-100.0,-66.0,78.76,12.29
5,Angiospermae,Dicotyledoneae,O,F,Arthollia,Arthollia sinenis,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
6,Angiospermae,Dicotyledoneae,O,Aspleniaceae,Asplenium,Asplenium dicksonianum,129.417,49.115,-100.0,-66.0,118.1,54.36
7,Angiospermae,Dicotyledoneae,O,Betulaceae,Betula,Betula prisca,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
8,Angiospermae,Dicotyledoneae,O,Betulaceae,Betula,Betula sachalinensis,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
9,Angiospermae,Dicotyledoneae,O,Betulaceae,Betuliphyllum,Betuliphyllum hunchunensis,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
10,Angiospermae,Dicotyledoneae,O,F,Brachyphyllum,Brachyphyllum rhombimaniferum,108.493,22.761,-100.0,-66.0,107.54,23.53
11,Angiospermae,Dicotyledoneae,O,F,Brachyphyllum,Brachyphyllum rhombimaniferum,116.40299999999999,25.065,-100.0,-66.0,113.5,28.92
12,Angiospermae,Dicotyledoneae,O,Leguminosae,Cassia,Cassia cf.fayettensis,88.35700000000001,29.355,-100.0,-33.0,79.76,12.41
13,Angiospermae,Dicotyledoneae,O,Leguminosae,Cassia,Cassia marshalensis,80.76100000000001,31.177,-100.0,-33.0,60.53,-28.75
14,Angiospermae,C,O,Fagaceae,Castanea,Castanea tangyuaensis,129.89700000000002,46.728,-100.0,-66.0,119.67,52.15
15,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrophyllum,Celastrophyllum newberryanum,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
16,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrophyllum,Celastrophyllum ovale,112.57700000000001,40.894,-100.0,-66.0,103.53,42.79
17,Pteridophyta,Filicopsida,O,Celastraceae,Celastrophyllum,Celastrophyllum zhouziense,112.57700000000001,40.894,-100.0,-66.0,103.53,42.79
18,Gymnospermae,C,Bennetittales,Celastraceae,Celastrophyllum,Celastrophyllum subprotophyllum,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
19,Angiospermae,Dicotyledoneae,O,Celastraceae,Celastrus,Celastrus minor,87.656,29.379,-100.0,-33.0,79.13,12.39
20,Angiospermae,Dicotyledoneae,O,Ceratophyllaceae,Ceratophyllum,Ceratophyllum jilinense,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
21,Angiospermae,Dicotyledoneae,O,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum arcticum,127.96,45.211000000000006,-100.0,-66.0,118.2,50.34
22,Angiospermae,Dicotyledoneae,O,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum elliptcum,89.053,29.294,-100.0,-66.0,80.38,12.39
23,Angiospermae,C,O,Tiliaceae,Cf.Tiliaephyllum,Cf.Tiliaephyllum tsagajannicum,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
24,Angiospermae,Dicotyledoneae,O,Lauraceae,Cinnamomum,Cinnamomum hesperium,108.62899999999999,22.609,-100.0,-66.0,107.74,23.45
25,Angiospermae,Dicotyledoneae,O,Lauraceae,Cinnamomum,Cinnamomum newberryi,108.62899999999999,22.609,-100.0,-66.0,107.74,23.45
26,Angiospermae,Dicotyledoneae,O,F,Cissites,Cissites hunchunensis,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
27,Angiospermae,Dicotyledoneae,O,F,Cissites,Cissites jingxiensis,117.17200000000001,40.431999999999995,-100.0,-66.0,108.31,43.15
28,Angiospermae,Dicotyledoneae,O,Vitaceae,Cissus,Cissus marginata,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
29,Angiospermae,Dicotyledoneae,O,F,Cladophlebis,Cladophlebis septentrionalis,130.41,48.894,-100.0,-66.0,119.28,54.33
30,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylites,Corylites fosteri,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
31,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylites,Corylites hunchunensis,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
32,Angiospermae,Dicotyledoneae,O,Hamamelidaceae,Corylopsiphyllum,Corylopsiphyllum jilinense,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
33,Angiospermae,Dicotyledoneae,O,Corylaceae,Corylus,Corylus kenaiana,127.96,45.211000000000006,-100.0,-66.0,118.2,50.34
34,Angiospermae,Dicotyledoneae,O,Corylaceae,Credneria,Credneria inordinata,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
35,Angiospermae,Dicotyledoneae,O,Cupressaceae,Cupressinoxylon,Cupressinoxylon jiayinense,130.394,48.887,-100.0,-66.0,119.27,54.32
36,Angiospermae,Dicotyledoneae,O,Juglandaceae,Cycrocarya,Cycrocarya macroptera,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
37,Gymnospermae,C,Ginkgoales,Moraceae,Debeya,Debeya tikhonovichii,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
38,Angiospermae,Monocotyledoneae,O,Liliaceae,Dianella,Dianella longifolia,88.833,29.358,-100.0,-33.0,80.18,12.44
39,Angiospermae,Dicotyledoneae,O,F,Dicotylophyllum,Dicotylophyllum hunchuniphyllum,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
40,Gymnospermae,C,Bennetittales,F,Dicotylophyllum,Dicotylophyllum subpyrifolium,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
41,Angiospermae,Dicotyledoneae,O,Ebenaceae,Diospyros,Diospyros rotundifolia,124.444,46.861999999999995,-100.0,-66.0,113.8,51.3
42,Gymnospermae,C,Bennetittales,F,Dryophyllum,Dryophyllum subcretaceum,124.444,46.861999999999995,-100.0,-66.0,113.8,51.3
43,Angiospermae,Dicotyledoneae,O,F,Equisetum,Equisetum hunchunense,130.358,42.858999999999995,-100.0,-66.0,121.2,47.77
44,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus angusta,88.35700000000001,29.355,-100.0,-33.0,79.76,12.41
45,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,80.76100000000001,31.177,-100.0,-33.0,60.53,-28.75
46,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus geinitzii,88.35700000000001,29.355,-100.0,-33.0,79.76,12.41
47,Angiospermae,Dicotyledoneae,O,Myrtaceae,Eucalyptus,Eucalyptus oblongifolia,80.76100000000001,31.177,-100.0,-33.0,60.53,-28.75
48,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus daphnogenoides,89.814,29.316999999999997,-100.0,-66.0,81.06,12.46
49,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus myrtifolius,80.76100000000001,31.177,-100.0,-33.0,60.53,-28.75
50,Angiospermae,Dicotyledoneae,O,Moraceae,Ficus,Ficus platanicostata,127.96,45.211000000000006,-100.0,-66.0,118.2,50.34
51,Gymnospermae,C,Bennetittales,Moraceae,Ficus,Ficus steophensoni,87.656,29.379,-100.0,-33.0,79.13,12.39
52,Angiospermae,Dicotyledoneae,O,F,Ginkgo,Ginkgo adiantoides,130.394,48.887,-100.0,-66.0,119.27,54.32
53,Angiospermae,Dicotyledoneae,O,Gleicheniaceae,Gleichenites,Gleichenites gracilis,130.41,48.894,-100.0,-66.0,119.28,54.33
54,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Glyptostrobus,Glyptostrobus europaeus,130.653,43.073,-100.0,-66.0,121.45,48.02
55,Angiospermae,Dicotyledoneae,O,Juglandaceae,Juglandites,Juglandites polophyllus,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
56,Angiospermae,Dicotyledoneae,O,Juglandaceae,Juglandites,Juglandites sinuatus,89.814,29.316999999999997,-100.0,-66.0,81.06,12.46
57,Angiospermae,Dicotyledoneae,O,Protiaceae,Macclintockia,Macclintockia cf.trinervis,130.315,48.863,-100.0,-66.0,119.19,54.28
58,Bryophyta,C,O,Cheirolepidiaceae,Manica,Manica tholistoma,119.789,29.162,-100.0,-66.0,114.32,33.96
59,Bryophyta,C,O,Cheirolepidiaceae,Manica,Manica tholistoma,115.35700000000001,26.340999999999998,-100.0,-66.0,111.85,29.6
60,Bryophyta,C,O,Cheirolepidiaceae,Manica,Manica tholistoma,118.23899999999999,28.685,-100.0,-66.0,113.17,32.88
61,Pteridophyta,Sphenopsida,Equisetales,Cheirolepidiaceae,Manica,Manica tholistoma,117.786,26.4,-100.0,-66.0,114.04,30.68
62,Pteridophyta,Sphenopsida,Equisetales,Cheirolepidiaceae,Manica,Manica tholistoma,119.419,29.204,-100.0,-66.0,113.95,33.84
63,Pteridophyta,Sphenopsida,Equisetales,Cheirolepidiaceae,Manica,Manica tholistoma,119.61,29.074,-100.0,-66.0,114.2,33.8
64,Angiospermae,Dicotyledoneae,O,F,Menispermites,Menispermites kujiensis,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
65,Angiospermae,Dicotyledoneae,O,F,Menispermites,Menispermites obtsiloba,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
66,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Metasequoia,Metasequoia cuneata,130.358,42.86,-100.0,-66.0,121.2,47.77
67,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Metasequoia,Metasequoia cuneata,129.89700000000002,46.727,-100.0,-66.0,119.67,52.14
68,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Metasequoia,Metasequoia disticha,129.412,49.11,-100.0,-66.0,118.1,54.36
69,Angiospermae,Dicotyledoneae,O,Myrtaceae,Myrtophyllum,Myrtophyllum penzhinense,130.365,42.861999999999995,-100.0,-66.0,121.21,47.77
70,Angiospermae,Dicotyledoneae,O,Lauraceae,Nectandra,Nectandra guangxiensis,108.62899999999999,22.609,-100.0,-66.0,107.74,23.45
71,Angiospermae,Dicotyledoneae,O,Lauraceae,Nectandra,Nectandra prolifica,108.62899999999999,22.609,-100.0,-66.0,107.74,23.45
72,Angiospermae,Dicotyledoneae,O,Filiaceae?,Nordenskioldia,Nordenskioldia cf.borealis,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
73,Angiospermae,Dicotyledoneae,O,Nymphaeaceae,Nymphaeites,Nymphaeites browni,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
74,Angiospermae,Dicotyledoneae,O,Osmundaceae,Osmunda,Osmunda cf.diamensis,130.41,48.894,-100.0,-66.0,119.28,54.33
75,Angiospermae,Dicotyledoneae,O,Oxalidaceae,Oxalis,Oxalis jiayinensis,130.497,48.853,-100.0,-66.0,119.4,54.3
76,Angiospermae,Dicotyledoneae,O,Scrophulariaceae,Paulownia,Paulownia shangzhiensis,127.96,45.211000000000006,-100.0,-66.0,118.2,50.34
77,Angiospermae,Dicotyledoneae,O,F,Phoroxylon,Phoroxylon scalariforme,131.004,45.335,-100.0,-66.0,121.43,50.99
78,Angiospermae,C,O,Marantaceae,Phrynium,Phrynium tibeticum,88.35700000000001,29.355,-100.0,-33.0,79.76,12.41
79,Gymnospermae,C,Ginkgoales,Marantaceae,Phrynium,Phrynium tibeticum,80.76100000000001,31.177,-100.0,-33.0,60.53,-28.75
80,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Piceoxylon,Piceoxylon dongguanensse,113.788,23.072,-100.0,-66.0,112.16,26.05
81,Angiospermae,Dicotyledoneae,O,Taxodiaceae,Piceoxylon,Piceoxylon manchuricum,131.003,45.333999999999996,-100.0,-66.0,121.43,50.99
82,Angiospermae,Dicotyledoneae,O,Ulmaceae,Planera,Planera cf.microphylla,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
83,Angiospermae,Dicotyledoneae,O,Platanaceae,Platanus,Platanus raynoldii,130.403,48.888999999999996,-100.0,-66.0,119.28,54.32
84,Angiospermae,Dicotyledoneae,O,Platanaceae,Platanus,Platanus cf.cuneifolia,112.70200000000001,40.013000000000005,-100.0,-66.0,103.93,41.95
85,Angiospermae,Dicotyledoneae,O,Platanaceae,Platanus,Platanus cuneifolia,113.667,43.858999999999995,-100.0,-66.0,103.62,45.86
