,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Pteridophyta,Filicopsida,O,Osmundaceae,Abropteris,Abropteris yongrenensis,103.861,28.303,-237,-201,99.44,37.23
1,Pteridophyta,Filicopsida,O,Marattiaceae,Acitheca,Acitheca qinghaiensis,100.09299999999999,37.321,-237,-201,96.91,51.96
2,Pteridophyta,C,O,F,Acthephyllum,Acthephyllum kaixianense,108.38799999999999,31.163,-237,-201,104.4,40.18
3,Pteridophyta,C,O,F,Aetheopteris,Aetheopteris rigida,112.87299999999999,31.088,-237,-201,109.42,40.13
4,Gymnospermae,Pteridospermopsida,O,F,Aipteridium,Aipteridium pinnatum,108.95700000000001,35.301,-237,-201,106.97,48.28
5,Gymnospermae,Pteridospermopsida,O,F,Aipteridium,Aipteridium zhiluoense,108.60600000000001,35.749,-237,-201,106.73,48.79
6,Gymnospermae,Pteridospermopsida,O,F,Aipteris,Aipteris nerviconfluens,110.689,38.637,-237,-201,110.44,51.11
7,Gymnospermae,Pteridospermopsida,O,F,Aipteris,Aipteris obovata,110.689,38.637,-237,-201,110.44,51.11
8,Gymnospermae,Pteridospermopsida,O,F,Aipteris,Aipteris shensiensis,108.919,35.330999999999996,-237,-201,106.94,48.32
9,Pteridophyta,Filicopsida,O,F,Allophyton,Allophyton dengqenensis,95.602,31.418000000000003,-237,-201,70.99,11.66
10,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia sphenopteroides,105.84,32.438,-237,-201,101.5,41.41
11,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia cladophleboides,106.666,27.933000000000003,-237,-201,102.55,36.92
12,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia cladophleboides,113.34200000000001,25.133000000000003,-237,-201,109.93,34.17
13,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia cladophleboides,113.771,27.997,-237,-201,110.41,37.03
14,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia cladophleboides,117.318,29.155,-237,-201,114.36,38.16
15,Gymnospermae,Pteridospermopsida,O,F,Amdrupia,Amdrupia kwangyuanensis,105.84,32.438,-237,-201,101.5,41.41
16,Gymnospermae,Pteridospermopsida,O,F,Amdrupiopsis,Amdrupiopsis sphenopteroides,103.51899999999999,30.59,-237,-201,98.97,39.5
17,Gymnospermae,Cycadopsida,Cycadales,F,Androstrobus,Androstrobus pagiodiformis,106.697,30.124000000000002,-237,-201,102.53,39.11
18,Pteridophyta,Filicopsida,O,Angiopteridaceae,Angiopteris,Angiopteris hongniensis,101.74700000000001,26.304000000000002,-237,-201,97.2,35.17
19,Pteridophyta,Filicopsida,O,Angiopteridaceae,Angiopteris,Angiopteris antiqua,104.795,30.559,-237,-201,100.4,39.51
20,Pteridophyta,Filicopsida,O,Angiopteridaceae,Angiopteris,Angiopteris antiqua,101.67200000000001,26.055,-237,-201,97.13,34.92
21,Pteridophyta,Filicopsida,O,Angiopteridaceae,Angiopteris,Angiopteris yungjenensis,105.042,31.068,-237,-201,100.66,40.02
22,Pteridophyta,Filicopsida,O,Angiopteridaceae,Angiopteris,Angiopteris taeniopteroides,103.861,28.303,-237,-201,99.44,37.23
23,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis cf.zeilleri,113.001,37.334,-237,-201,112.58,49.34
24,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis atannularioides,110.836,39.106,-237,-201,110.84,51.53
25,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis cf.inopinata,107.86399999999999,31.084,-237,-201,103.81,40.09
26,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis cf.inopinata,118.571,40.825,-237,-201,120.73,51.29
27,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis cf.inopinata,126.40700000000001,41.949,-237,-201,130.06,50.26
28,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis hechuanensis,106.384,29.919,-237,-201,102.19,38.9
29,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis inopinata,82.12100000000001,42.071000000000005,-237,-201,86.66,54.67
30,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis lobatannularioides,108.91799999999999,35.330999999999996,-237,-201,106.94,48.32
31,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis lobatannularioides,110.041,39.214,-237,-201,109.93,51.81
32,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis lobatannularioides,110.836,39.106,-237,-201,110.84,51.53
33,Pteridophyta,C,Equisetales,F,Annulariopsis,Annulariopsis sinensis,113.244,23.205,-237,-201,109.81,32.24
34,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis sinensis,113.244,23.205,-237,-201,109.81,32.24
35,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis yancaogouensis,119.354,42.196000000000005,-237,-201,122.38,52.38
36,Gymnospermae,Cycadopsida,Bennettiales,F,Anomazamites,Anomazamites inconstans,113.73100000000001,28.311,-237,-201,110.37,37.35
37,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites major,112.781,22.965,-237,-201,109.31,32.0
38,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites minor,113.771,27.997,-237,-201,110.41,37.03
39,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites alternus,106.697,30.124000000000002,-237,-201,102.53,39.11
40,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites alternus,101.665,26.053,-237,-201,97.12,34.91
41,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites alternus,101.71700000000001,26.586,-237,-201,97.15,35.45
42,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites amdrupiana,111.833,31.776999999999997,-237,-201,108.25,40.82
43,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites amdrupiana,101.382,27.037,-237,-201,96.76,35.89
44,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.amdrupiana,105.345,26.089000000000002,-237,-201,101.15,35.05
45,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.amdrupiana,120.859,31.711,-237,-201,118.38,40.65
46,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,111.634,31.063000000000002,-237,-201,108.03,40.1
47,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,125.925,43.396,-237,-201,130.4,51.74
48,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,100.851,27.285999999999998,-237,-201,82.77,30.35
49,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.hartzii,106.697,30.124000000000002,-237,-201,102.53,39.11
50,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.inconstans,95.613,33.854,-237,-201,75.03,34.93
51,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.loczyi,117.56200000000001,25.403000000000002,-237,-201,114.55,34.41
52,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.loczyi,99.79700000000001,28.934,-237,-201,81.1,31.58
53,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,116.42,30.423000000000002,-237,-201,113.38,39.44
54,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,116.557,25.274,-237,-201,113.45,34.29
55,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,117.56200000000001,25.403000000000002,-237,-201,114.55,34.41
56,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,105.46799999999999,32.312,-237,-201,101.09,41.27
57,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,105.345,26.089000000000002,-237,-201,101.15,35.05
58,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,114.98899999999999,27.116999999999997,-237,-201,111.75,36.15
59,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,116.42,30.423000000000002,-237,-201,113.38,39.44
60,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,117.56200000000001,25.403000000000002,-237,-201,114.55,34.41
61,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,101.71700000000001,26.586,-237,-201,97.15,35.45
62,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.nitida,117.56200000000001,25.403000000000002,-237,-201,114.55,34.41
63,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.paucinervis,96.359,32.964,-237,-201,76.12,34.32
64,Gymnospermae,Cycadopsida,Cycadales,F,Anomozamites,Anomozamites chaoi,105.855,32.493,-237,-174,107.71,42.02
